course;code_smells_count;bugs_count;vulnerability_count;;;;;;;;;;;;;;;;;;;;;;;
Acesso ao Big Query: manipulação programático linguagens;6;0;0;;;;;;;;;;;;;;;;;;;;;;;
Python: avançando na orientação a objetos;0;2;0;;;;;;;;;;;;;;;;;;;;;;;
Algoritmos com JavaScript II: aprofundando em algoritmos de ordenação e busca;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Angular parte 1:produtividade e organização com framework SPA;5;1;0;;;;;;;;;;;;;;;;;;;;;;;
Python: entendendo a Orientação a Objetos;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Flask: crie uma webapp com Python;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Angular parte 2:Autenticação, Forms e lazy loading;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
Python: começando com a linguagem;0;2;0;;;;;;;;;;;;;;;;;;;;;;;
Engenharia de Dados: organizando dados na AWS;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Angular parte 3:upload, build e novos componentes;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
Angular parte 4: lapidando o projeto;1;1;0;;;;;;;;;;;;;;;;;;;;;;;
Python: trabalhando com I/O;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Angular:boas práticas em arquiteturas e formulários;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
Python e TDD: explorando testes unitários;2;0;0;;;;;;;;;;;;;;;;;;;;;;;
String em Python: extraindo informações de uma URL;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
Angular:controle o fluxo de navegação;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
Go: Orientação a Objetos;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
Angular:design de componentes com acessibilidade;9;1;0;;;;;;;;;;;;;;;;;;;;;;;
Apache Beam: Data Pipeline com Python;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Angular:formulários orientados a templates;1;1;0;;;;;;;;;;;;;;;;;;;;;;;
Angular: ciclo de vida;1;1;0;;;;;;;;;;;;;;;;;;;;;;;
APIs REST com NestJS: buscas, validação, serialização e detalhes arquiteturais;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Internet das coisas: seu assistente pessoal em Python;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Curso de JavaScript e HTML: desenvolva um jogo e pratique lógica de programação;9;0;0;;;;;;;;;;;;;;;;;;;;;;;
Gráficos na web parte 1: criando e customizando gráficos;125;0;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript I: algoritmos de ordenação;9;0;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript na Web: armazenando dados no navegador;9;0;0;;;;;;;;;;;;;;;;;;;;;;;
Go: a linguagem do Google;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
Raspberry Pi parte 3: Carro espião com câmera, wifi e sensor;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Java OO: entendendo a Orientação a Objetos;14;0;0;;;;;;;;;;;;;;;;;;;;;;;
Django: templates e boas práticas;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Go e Gin: criando API rest com simplicidade;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
Python 3: entendendo o Tratamento de Erros;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript para Web: Crie páginas dinâmicas;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: aprofundando em MVC, padrão Proxy e Factory;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: Arrays;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
